,Year,Total Restaurant Sales (in millions),Total Vehicle Units (in millions)
0,1992,173468,157.294
1,1993,185719,170.11
2,1994,195025,184.775
3,1995,202050,181.418
4,1996,210149,185.455
5,1997,223308,185.981
6,1998,234940,191.612
7,1999,244761,208.978
8,2000,261098,213.728
9,2001,272634,209.665
10,2002,285492,205.658
11,2003,302113,203.597
12,2004,323584,207.55
13,2005,343153,209.354
14,2006,364280,204.591
15,2007,381506,197.545
16,2008,391048,161.917
17,2009,388726,127.217
18,2010,401956,141.265
19,2011,428128,156.589
20,2012,453168,177.367
21,2013,471924,190.585
22,2014,503023,202.298
23,2015,546140,214.285
24,2016,573325,214.555
25,2017,604128,210.762
26,2018,638601,212.539
27,2019,674032,209.865
28,2020,585413,178.568
29,2021,762268,184.906
30,2022,872976,170.746
31,2023,640738,127.655
