Year,Year,Yearly Unemployment Rate
1976,1976,7.654154397
1977,1977,7.002356582
1978,1978,6.01804887
1979,1979,5.80184644
1980,1980,7.145776199
1981,1981,7.606055464
1982,1982,9.685206121
1983,1983,9.612601425
1984,1984,7.523954616
1985,1985,7.186397064
1986,1986,6.999297262
1987,1987,6.190210388
1988,1988,5.507966421
1989,1989,5.271695103
1990,1990,5.610554918
1991,1991,6.837225673
1992,1992,7.496179038
1993,1993,6.924537205
1994,1994,6.082763104
1995,1995,5.585460674
1996,1996,5.390602638
1997,1997,4.937947827
1998,1998,4.503025636
1999,1999,4.211409711
2000,2000,4.000339893
2001,2001,4.730851247
2002,2002,5.787071878
2003,2003,5.988234968
2004,2004,5.52040039
2005,2005,5.103872634
2006,2006,4.650016392
2007,2007,4.614186647
2008,2008,5.816484955
2009,2009,9.240904238
2010,2010,9.614777521
2011,2011,8.952614506
2012,2012,8.077363913
2013,2013,7.3640665
2014,2014,6.167383659
2015,2015,5.272894384
2016,2016,4.878237546
2017,2017,4.352237242
2018,2018,3.899414266
2019,2019,3.670574892
2020,2020,8.524608401
